"Diện tích, dân số và mật độ dân số phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu"

" ";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019 (*)"
" ";"Diện tích(Km2)";"Diện tích(Km2)";"Diện tích(Km2)";"Diện tích(Km2)";"Diện tích(Km2)";"Diện tích(Km2)";"Diện tích(Km2)";"Diện tích(Km2)";"Diện tích(Km2)"
"TP.Hồ Chí Minh";2095.6;2095.6;2095.6;2095.5;2095.5;2061.4;2061.2;2061.4;2061.4
"Đồng bằng sông Cửu Long";40548.2;40553.1;40572.0;40576.0;40576.0;40816.3;40816.3;40816.4;40816.4
"Long An";4492.4;4492.4;4491.9;4495.0;4495.0;4494.8;4494.9;4494.9;4494.9
"Tiền Giang";2508.3;2508.3;2508.6;2509.3;2509.3;2510.5;2510.6;2510.6;2510.6
"Bến Tre";2360.6;2357.7;2359.5;2359.8;2359.8;2394.6;2394.7;2394.8;2394.8
"Trà Vinh";2341.2;2341.2;2341.2;2341.2;2341.2;2358.2;2358.3;2358.3;2358.3
"Vĩnh Long";1496.8;1504.9;1520.2;1520.2;1520.2;1525.6;1525.7;1525.7;1525.7
"Đồng Tháp";3377.0;3377.0;3378.8;3378.8;3378.8;3384.0;3383.8;3383.8;3383.8
"An Giang";3536.7;3536.7;3536.7;3536.7;3536.7;3536.7;3536.7;3536.7;3536.7
"Kiên Giang";6348.5;6348.5;6348.5;6348.5;6348.5;6348.7;6348.8;6348.8;6348.8
"Cần Thơ";1409.0;1409.0;1409.0;1408.9;1408.9;1439.2;1439.0;1439.0;1439.0
"Hậu Giang";1602.5;1602.5;1602.4;1602.4;1602.4;1621.8;1621.7;1621.7;1621.7
"Sóc Trăng";3311.6;3311.6;3311.6;3311.6;3311.6;3311.9;3311.9;3311.9;3311.9
"Bạc Liêu";2468.7;2468.7;2468.7;2468.7;2468.7;2669.1;2669.0;2669.0;2669.0
"Cà Mau";5294.9;5294.9;5294.9;5294.9;5294.9;5221.2;5221.2;5221.2;5221.2

"(*) Diện tích có đến 31/12/2018 theo Quyết định số 2908/QĐ-BTNMT "
"ngày 13 tháng 11 năm 2019 của Bộ trưởng Bộ Tài nguyên và Môi "
"trường. "
""

